parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
kandahar,"['SPORT RARO  --   combinata, gara sciistica che include discesa libera e slalom', 'SPORT  --  nome commerciale di un tipo di attacco di sicurezza per sci, oggi non più in uso']","['kan', 'dah', 'ar']",kandahar, /kandaˈar/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kandahar100
kant,['Solo alcune locuzioni'],['kant'],kant, /ˈkant/,[' '],['teoria nebulare'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kant100
kantiano,"['FILOSOFIA  --  del filosofo tedesco Immanuel Kant e della sua filosofia', 'FILOSOFIA  --  seguace, studioso del filosofo tedesco Immanuel Kant']","['kan', 'tia', 'no']",kantiàno, /kanˈtjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kantiano100
kantismo,['FILOSOFIA  --  lo stesso che criticismo'],"['kan', 'ti', 'smo']",kantìsmo, /kanˈtizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kantismo100
kaone,"[""FISICA  --  altro nome del mesone K, la cui massa è circa mille volte superiore a quella dell'elettrone, soggetto a interazione forte""]","['ka', 'o', 'ne']",kaóne, /kaˈone/,['sostantivo maschile'],['atomo kaone'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kaone100
kapo,"['STORIA VOCE TEDESCA  --   nei lager nazisti, il prigioniero responsabile della disciplina nella sua baracca e incaricato di sorvegliare il lavoro dei propri compagni, ricorrendo in genere a metodi coercitivi violenti arriva il Kapo, distribuisce pedate, pugni e improperi, i compagni si disperdono come pula al vento [Primo Levi]', 'PER ESTENSIONE SPREGIATIVO VOCE TEDESCA  --    capufficio, direttore e simili che esercita il proprio potere sui sottoposti in modo arrogante, vessatorio e persecutorio']","['ka', 'po']",kapò, /kaˈpɔ/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kapo100
kapok,['variante grafica di capoc'],"['ka', 'pok']",kapòk, /kaˈpɔk/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kapok100
kappao,['lo stesso che knock-out'],"['kap', 'pa', 'o']",kappaò," /,kappaˈɔ/",['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kappao100
kaputt,"['VOCE TEDESCA SCHERZOSO  --   rovinato, finito, distrutto; ucciso, morto, spacciato; molto diffuso anche nella grafia kaput dopo una giornata di lavoro, sono kaputt | oggi sono kaputt', 'VOCE TEDESCA SCHERZOSO  --   rovinato, guasto, spesso irrimediabilmente il mio computer è kaputt | il motore è kaputt | il telfonino è kaputt', 'VOCE TEDESCA SCHERZOSO  --   male, malamente finire kaputt | andare kaputt']","['ka', 'putt']",kaputt, /kaˈput/,"['aggettivo', 'avverbio']","['andare kaput', 'fare kaputt']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kaputt100
karakiri,['variante grafica di harakiri'],"['ka', 'ra', 'ki', 'ri']",karakìri, /karaˈkiri/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karakiri100
karakul,"['ZOOTECNIA  --  razza asiatica di pecore con pelo nero, lungo, finissimo e ondulato; anche in funzione appositiva razza karakul', 'ZOOTECNIA PER ESTENSIONE  --   ogni pecora di tale razza; ho visto un gregge di karakul', 'ABBIGLIAMENTO  --  la pregiata pelliccia che si ricava dagli agnelli di tale pecora']","['ka', 'ra', 'kul']",karakùl, /karaˈkul/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karakul100
karate,"[""SPORT VOCE GIAPPONESE  --   tecnica di lotta giapponese, praticata come mezzo di difesa personale e più raramente di offesa, in cui i colpi sono portati con i piedi e con le mani nude aperte a coltello sulle parti vitali dell'avversario; comprende anche esercizî spettacolari, tra cui la rottura di tavole di legno, mattoni, pietre, con le mani o con i piedi praticare il karate | campionati di karate | un colpo di karatè""]","['ka', 'ra', 'te', '', '']","karàte, karatè"," /kaˈrate/, /karaˈtɛ/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karate100
karateka,['SPORT VOCE GIAPPONESE  --   chi pratica il karate'],"['ka', 'ra', 'te', 'ka']",karateka, /karaˈtɛka/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karateka100
karman,['RELIGIONE  --  variante di karma'],"['kar', 'man']",kàrman, /ˈkarman/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karman100
kart,['VOCE INGLESE  --  ellissi di go-kart'],['kart'],kart, /ˈkart/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kart100
karting,['VOCE INGLESE  --  lo stesso che kartismo'],"['kar', 'ting']",karting, /ˈkarting/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=karting100
kartismo,['SPORT  --  sport praticato con i go-kart'],"['kar', 'ti', 'smo']",kartìsmo, /karˈtizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kartismo100
kartista,"['SPORT  --  chi pratica il kartismo, lo sport del go-kart']","['kar', 'ti', 'sta']",kartìsta, /karˈtista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kartista100
kartodromo,['SPORT  --  pista per corse di go-kart'],"['kar', 'to', 'dro', 'mo']",kartòdromo, /karˈtɔdromo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kartodromo100
kasak,"['ARREDAMENTO  --  tappeto lavorato dai nomadi del Caucaso meridionale, ornato da motivi a poligoni regolari disposti simmetricamente intorno a un poligono centrale']","['ka', 'sak']",kasak, /kaˈzak/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kasak100
kasher,"[""RELIGIONE  --  nell'ebraismo, detto di cibo, adatto, conforme ai precetti, ritualmente puro secondo la legge religiosa; si contrappone a taref ristorante kasher | cucina kasher""]","['ka', 'sher']",kasher, /kaʃˈʃer/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kasher100
kashmir,"['ARREDAMENTO  --  tappeto indiano di lana di cashmere', 'RARO  --  variante grafica di cashmere']","['kash', 'mir']",kashmir," /ˈkaʃmir/, /kaʃˈmir/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kashmir100
kasolite,"[""MINERALOGIA  --  minerale raro costituito da silicato idrato di uranio e piombo, che cristallizza nel sistema monoclino, da cui si estrae l'uranio""]","['ka', 'so', 'li', 'te']",kasolìte, /kazoˈlite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kasolite100
kata,"[""SPORT VOCE GIAPPONESE  --   combattimento figurato eseguito come esercizio per l'apprendimento delle arti marziali""]","['ka', 'ta', '']","kàta, katà"," /ˈkata/, /kaˈta/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kata100
katana,"['ARMI VOCE GIAPPONESE  --   spada giapponese a lama ricurva, la tipica sciabola dei samurai, portata fino al termine della II guerra mondiale, dagli ufficiali giapponesi']","['ka', 'ta', 'na']",katana, /kaˈtana/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=katana100
katanga,['lo stesso che katanghese'],"['ka', 'tan', 'ga']",katànga, /kaˈtanga/,['agg. e s. maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=katanga100
katanghese,"['del Katanga, regione del Congo', 'nativo o abitante del Katanga, regione del Congo', ""STORIA  --  negli anni Settanta, membro del servizio d'ordine nelle manifestazioni del movimento studentesco o degli extraparlamentari""]","['ka', 'tan', 'ghe', 'se']",katanghése," /katanˈgese/, /katanˈgeze/","['aggettivo', 'sostantivo maschile e femminile', 'aggettivo e sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=katanghese100
katiuscia,"['ARMI VOCE RUSSA  --   durante la seconda guerra mondiale, proiettile esplosivo a razzo di fabbricazione sovietica', 'ARMI VOCE RUSSA  --   lanciarazzi multiplo fabbricazione sovietica, costituito da molte canne o scivoli, da cui tali proiettili partono simultaneamente, spesso montato su un mezzo semovente; noto anche come organo di Stalin']","['ka', 'tiu', 'scia']",katiuscia, /kaˈtjuʃʃa/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=katiuscia100
kauri,['CHIMICA  --  variante grafica di cauri'],"['kau', 'ri']",kàuri, /ˈkawri/,['sostantivo maschile plurale'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kauri100
kayak,"[""canoa affusolata lunga e stretta, costituita da un'intelaiatura rivestita da pelli di foca, mossa con una pagaia, tipica degli eschimesi che la usano per la pesca gli eschimesi pescano con il cayak; anche in funzione appositiva una canoa kayak"", 'SPORT  --  canoa da competizione di materiale leggerissimo, simile alla precedente, usata nel canottaggio in gare sportive, a uno, due o quattro posti', 'SPORT PER ESTENSIONE  --   lo sport che si pratica con tale imbarcazione']","['ka', 'yak']",kayak, /kaˈjak/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kayak100
kayakista,['SPORT  --  chi pratica lo sport del kayak'],"['ka', 'ya', 'ki', 'sta']",kayakìsta, /kajaˈkista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kayakista100
kefir,['GASTRONOMIA  --  variante grafica di chefir'],"['ke', 'fir', '']","kèfir, kefìr"," /ˈkɛfir/, /keˈfir/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kefir100
kelene,"['CHIMICA  --  cloruro di etile, usato come anestetico locale in interventi di piccola chirurgia']","['ke', 'le', 'ne']",kelène, /keˈlɛne/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kelene100
kellerina,"['giovane cameriera di caffé, birreria e altri locali, specialmente nei paesi tedeschi']","['kel', 'le', 'ri', 'na']",kellerìna, /kelleˈrina/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kellerina100
kelvin,"['FISICA  --  unità di misura nel Sistema Internazionale della temperatura assoluta; simbolo K, °K']","['kel', 'vin']",kèlvin, /ˈkɛlvin/,['sostantivo maschile'],['grado Kelvin o assoluto: Kelvin'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kelvin100
kendo,"[""SPORT VOCE GIAPPONESE  --   tipo di scherma giapponese in cui i partecipanti indossano una corazza e una robusta maschera e costumi tradizionali e sono armati di una lunga sciabola di bambù che è la versione simbolica dell'arma in metallo dei samurai""]","['ken', 'do', '']","kèndo, kendò", /ˈkɛndo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kendo100
keniano,['lo stesso che keniota'],"['ke', 'nia', 'no']",keniàno, /keˈnjano/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=keniano100
keniota,"['del Kenya', 'nativo o abitante del Kenya']","['ke', 'nio', 'ta']",keniòta, /keˈnjɔta/,"['aggettivo', 'sostantivo maschile e femminile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=keniota100
kennediano,"[""POLITICA  --  relativo alla famiglia Kennedy, specialmente al presidente degli Stati Uniti d'America John Fitzgerald Kennedy e alla sua politica"", 'POLITICA  --  seguace, sostenitore della famiglia Kennedy']","['ken', 'ne', 'dia', 'no']",kennediàno, /kenneˈdjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kennediano100
kepi,"['ABBIGLIAMENTO VOCE FRANCESE  --   copricapo militare cilindrico rigido con visiera, usato specialmente dai militari francesi']","['ke', 'pi']",képi, /keˈpi/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kepi100
kepleriano,"[""ASTRONOMIA  --  relativo all'astronomo tedesco Keplero e alle sue teorie leggi kepleriane, sulle orbite dei pianeti""]","['ke', 'ple', 'ria', 'no']",kepleriàno, /kepleˈrjano/,['aggettivo'],['orbita kepleriana'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kepleriano100
kermes,['ENTOMOLOGIA  --  variante grafica di chermes'],"['ker', 'mes']",kèrmes, /ˈkɛrmes/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kermes100
kermesse,"['VOCE FRANCESE  --  nei Paesi Bassi e in alcuni luoghi della Francia settentrionale, festa annuale della parrocchia celebrata con grande apparato', 'PER ESTENSIONE VOCE FRANCESE  --   raduno, avvenimento festoso; manifestazione pubblica di notevole partecipazione e risonanza e di grande richiamo', 'SPORT VOCE FRANCESE  --   corsa ciclistica a ingaggio, su circuito cittadino cui partecipano tutti i vincitori delle gare a tappe']","['ker', 'mes', 'se']",kermesse, /kerˈmɛs/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kermesse100
kerosene,['variante grafica di cherosene'],"['ke', 'ro', 'se', 'ne']",kerosène, /keroˈzɛne/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kerosene100
ketch,"[""MARINERIA  --  Imbarcazione da diporto e da regata attrezzata con due alberi e bompresso con l'albero di mezzana molto più piccolo, detto mezzanella, dell'albero di maestra e collocato un poco a proravia del timone anziché a poppavia e può portare una randa"", 'MARINERIA  --  piccola imbarcazione a due alberi usata per traffico e pesca nei mari del nord']",['ketch'],ketch, /ˈkɛʧ/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ketch100
ketchup,"[""GASTRONOMIA VOCE INGLESE  --   ellissi della locuzione «tomato ketchup», salsa di pomodoro agrodolce con l'aggiunta di zucchero, spezie, cipolla, erbe aromatiche, farine di semi veri, aceto, usata come condimento specialmente per accompagnare carni, uova, panini, patatine fritte e simili patatine con ketchup e maionese | hamburger con ketchup""]","['ketch', 'up']",ketchup, /ˈkɛʧap/,['sostantivo maschile'],['tomato ketchup'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ketchup100
keynesiano,"[""ECONOMIA  --  dell'economista inglese John Maynard Keynes o delle sue teorie"", ""ECONOMIA  --  fautore, studioso o seguace delle teorie dell'economista inglese John Maynard Keynes""]","['key', 'ne', 'sia', 'no']",keynesiàno, /kejneˈsjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=keynesiano100
keyword,"['INFORMATICA  --  parola chiave, la parola che serve a identificare il contenuto di un documento']","['key', 'word']",keyword, /ˈkiword/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=keyword100
kg,"['METROLOGIA  --  simbolo del chilogrammo, pari a 1.000 grammi']",['kg'],kg," /,kappaˈʤi/",['simbolo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kg100
khan,['STORIA VOCE TURCA  --   titolo ereditario conferito a principi mongoli e turchi nel Medioevo e che si trasmetteva per diritto ereditario'],['khan'],khan, /ˈkan/,['sostantivo maschile'],['Aghà Khan'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=khan100
khmer,"['ETNOLOGIA  --  della Cambogia e dei suoi abitanti architettura khmer | cultura khmer | impero khmer', ""ETNOLOGIA  --  che, chi appartiene agli Khmer, l'etnia dominante della Cambogia"", 'LINGUISTICA  --  lingua indocinese parlata in Cambogia']",['khmer'],khmèr, /ˈkmɛr/,"['aggettivo', 'agg. e s. maschile e femminile', 'sostantivo maschile']",['khmer rosso'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=khmer100
khomeinismo,"[""POLITICA  --  l'integralismo islamico iraniano nella forma assunta sotto il regime teocratico dell'ayatollah iraniano Ruhollah Khomeini"", 'POLITICA PER ESTENSIONE  --   qualsiasi ogni forma di integralismo di estrema intransigenza, specialmente politico e religioso']","['kho', 'me', 'i', 'ni', 'smo']",khomeinìsmo, /komeiˈnizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=khomeinismo100
kibbutz,"['VOCE EBRAICA  --  in Israele, colonia agricola a gestione collettiva']","['kib', 'butz']",kibbutz, /kibˈbuts/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kibbutz100
kibbuz,['VOCE EBRAICA  --  variante grafica di kibbutz'],"['kib', 'buz']",kibbùz, /kibˈbuts/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kibbuz100
kidnapping,"['VOCE INGLESE  --  rapimento a scopo di estorsione, specialmente di un bambino']","['kid', 'nap', 'ping']",kidnapping, /kidˈnɛpping/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kidnapping100
kiefer,"['SPORT VOCE INGLESE  --   nel nuoto, lo stesso che capovolta']","['kie', 'fer']",kiefer, /ˈkifer/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kiefer100
kieserite,"['MINERALOGIA  --  minerale raro costituito da solfato di magnesio idrato, che cristallizza nel sistema monoclino e che si rinviene in aggregati cristallini di colore grigiastro o giallastro nei residui di depositi salini']","['kie', 'se', 'ri', 'te']",kieserìte, /kizeˈrite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kieserite100
kievita,"['di Kiev', 'nativo o abitante di Kiev']","['kie', 'vi', 'ta']",kievìta, /kieˈvita/,"['aggettivo', 'sostantivo maschile e femminile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kievita100
killer,"['VOCE INGLESE  --  assassino che uccide su commissione, sicario', 'VOCE INGLESE  --  chi persegue i propri scopi senza scrupoli cercando di eliminare o neutralizzare gli avversari, soprattutto con calunnie', 'VOCE INGLESE  --  micidiale, mortale, che uccide, che può provocare la morte sostanza killer | squalo killer | zanzara killer | cellule killer']","['kil', 'ler']",killer, /ˈkiller/,"['sostantivo maschile', 'sostantivo maschile e femminile', 'aggettivo']","['linfociti killer o cellule killer', 'killer boat o killer ship', 'serial killer', 'submarine killer', 'serial killer', 'satellite killer', 'alga assassina o alga killer']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=killer100
killeraggio,"['RARO  --  assassinio compiuto da un killer', ""POLITICA PER ESTENSIONE  --   linciaggio morale o politico sui mezzi di comunicazione di massa, con calunnie sistematiche per screditare l'avversario""]","['kil', 'le', 'rag', 'gio']",killeràggio, /killeˈradʤo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=killeraggio100
kilo,"['accorciativo di chilogrammo', 'variante grafica di chilo-']","['ki', 'lo']",kìlo, /ˈkilo/,"['sostantivo maschile', 'prefisso']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kilo100
kiloton,['METROLOGIA  --  variante grafica di chiloton'],"['ki', 'lo', 'ton']",kìloton, /ˈkiloton/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kiloton100
kilt,"['ABBIGLIAMENTO VOCE INGLESE  --   gonnellino maschile in tartan tipico del costume tradizionale scozzese', 'ABBIGLIAMENTO PER ESTENSIONE VOCE INGLESE  --    gonna femminile, specialmente a pieghe, in tessuto scozzese, generalmente chiusa sul davanti da uno spillone']",['kilt'],kilt, /ˈkilt/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kilt100
kimberlite,"['PETROGRAFIA  --  roccia eruttiva della famiglia delle peridotiti, composta da olivina, pirosseni e anfiboli, con molti minerali accessorî, fra cui il diamante che in Sud Africa costituisce di cui costituisce la roccia madre degli imbuti vulcanici']","['kim', 'ber', 'li', 'te']",kimberlìte, /kimberˈlite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kimberlite100
kimono,['ABBIGLIAMENTO VOCE GIAPPONESE  --   variante grafica di chimono'],"['ki', 'mo', 'no']",kimòno, /kiˈmɔno/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=kimono100
